fips,med_income,owner_occ,pop_tot,dem_fem_pct,dem_male_pct,dem_white_pct,dem_baa_pct,dem_aian_pct,dem_a_pct,dem_nhpi_pct,dem_two_pct,dem_hl_pct,dem_vet,dem_hh
13001,3713500,0.711,18428,0.501,0.499,0.6950000000000001,0.19399999999999998,0.006,0.009000000000000001,0,0.012,0.096,1053,8381
13003,3093300,0.72,8273,0.499,0.501,0.562,0.17500000000000002,0.013999999999999999,0.009000000000000001,0,0.021,0.252,385,3429
13005,3716200,0.6859999999999999,11372,0.507,0.493,0.731,0.166,0.003,0.006,0,0.016,0.087,559,4715
13007,4429700,0.736,3150,0.514,0.48600000000000004,0.47000000000000003,0.459,0.004,0.011000000000000001,0,0.011000000000000001,0.055999999999999994,178,1620
13009,3246000,0.538,45144,0.494,0.506,0.526,0.424,0.003,0.018000000000000002,0,0.012,0.022000000000000002,2911,20277
13011,4142700,0.755,18397,0.49,0.51,0.878,0.028999999999999998,0.005,0.013000000000000001,0,0.015,0.067,1321,7527
13013,5201200,0.728,77126,0.509,0.49100000000000005,0.7270000000000001,0.11800000000000001,0.005,0.037000000000000005,0,0.022000000000000002,0.10300000000000001,4697,27602
13015,4889300,0.643,103807,0.507,0.493,0.7809999999999999,0.111,0.006,0.009000000000000001,0,0.02,0.085,6928,40196
13017,2999400,0.61,17243,0.521,0.479,0.5650000000000001,0.35600000000000004,0.006999999999999999,0.009000000000000001,0,0.013000000000000001,0.061,912,6413
13019,3183500,0.7120000000000001,18993,0.506,0.494,0.867,0.106,0.004,0.011000000000000001,0,0.012,0.051,1372,6958
13021,3651900,0.524,152760,0.53,0.47000000000000003,0.41100000000000003,0.55,0.003,0.02,0,0.015,0.032,10456,57111
13023,3899100,0.728,12970,0.521,0.479,0.706,0.268,0.002,0.012,0,0.012,0.027999999999999997,803,4113
13025,3720600,0.799,18355,0.506,0.494,0.924,0.033,0.004,0.003,0,0.017,0.021,1225,6581
13027,3266300,0.6920000000000001,15687,0.509,0.49100000000000005,0.569,0.35200000000000004,0.004,0.009000000000000001,0,0.015,0.059000000000000004,1607,6577
13029,6332700,0.6829999999999999,36230,0.507,0.493,0.7390000000000001,0.146,0.005,0.02,0,0.033,0.071,3525,11441
13031,3603200,0.49600000000000005,74722,0.508,0.49200000000000005,0.638,0.29600000000000004,0.004,0.016,0,0.017,0.037000000000000005,4096,26128
13033,3364100,0.706,22688,0.521,0.479,0.474,0.478,0.004,0.005,0,0.015,0.031000000000000003,1497,8102
