zip,locale,nbld,pct_suitable
30002,Suburb Large,1607.0,0.634723086
30004,Suburb Large,13273.0,0.820359205
30005,Suburb Large,8411.0,0.841821933
30008,Suburb Large,5849.0,0.819148358
30009,Suburb Large,3358.0,0.824697635
30011,Rural Fringe,5101.0,0.841874648
30012,Suburb Large,6741.0,0.8461366770000001
30013,Suburb Large,5542.0,0.842827001
30014,Suburb Large,10728.0,0.858689215
30016,Suburb Large,18213.0,0.85018659
30017,Suburb Large,5827.0,0.835830362
30019,Suburb Large,11651.0,0.849228935
30021,Suburb Large,2162.0,0.634597595
30022,Suburb Large,15583.0,0.8351956629999999
30024,Suburb Large,19854.0,0.834305462
30025,Rural Fringe,3319.0,0.8467989929999999
30028,Rural Fringe,10094.0,0.823229876
30030,Suburb Large,7433.0,0.520247545
30032,Suburb Large,13515.0,0.5475397710000001
30033,Suburb Large,7834.0,0.5016594329999999
30034,Suburb Large,12981.0,0.7283722359999999
30035,Suburb Large,5771.0,0.6948535779999999
30038,Suburb Large,10032.0,0.832226348
30039,Suburb Large,14099.0,0.826411597
30040,Rural Fringe,16382.0,0.811734738
30041,Rural Fringe,11485.0,0.8036099720000001
30043,Suburb Large,20152.0,0.8342046870000001
30044,Suburb Large,20486.0,0.8234772840000001
30045,Suburb Large,9888.0,0.837658208
30046,Suburb Large,8599.0,0.8395448740000001
30047,Suburb Large,17335.0,0.810750468
30052,Rural Fringe,19872.0,0.8374381259999999
30054,Suburb Large,3578.0,0.8547835140000001
30055,Suburb Large,1734.0,0.8674802770000001
30056,Rural Fringe,777.0,0.858889515
30058,Suburb Large,14958.0,0.841660966
30060,Suburb Large,7706.0,0.839278827
30062,Suburb Large,18449.0,0.797221695
30063,Suburb Large,556.0,0.852082417
30064,Suburb Large,13575.0,0.8150603259999999
30066,Suburb Large,17089.0,0.805233738
30067,Suburb Large,7625.0,0.668852459
30068,Suburb Large,9628.0,0.7979295679999999
30069,Suburb Large,5.0,0.4
30071,Suburb Large,5602.0,0.859266957
30072,Suburb Large,112.0,0.267857143
30075,Suburb Large,15874.0,0.808622728
30076,Suburb Large,9278.0,0.817624267
30078,Suburb Large,9488.0,0.827708291
30079,Suburb Large,991.0,0.606458123
30080,Suburb Large,10217.0,0.71371244
30082,Suburb Large,7751.0,0.72016514
30083,Suburb Large,11791.0,0.8142222929999999
30084,Suburb Large,9226.0,0.625948407
30087,Suburb Large,9656.0,0.805364814
30088,Suburb Large,7433.0,0.549441679
30092,Suburb Large,6141.0,0.8395852140000001
30093,Suburb Large,8041.0,0.84594016
30094,Suburb Large,10562.0,0.834573943
30096,Suburb Large,11392.0,0.83624271
30097,Suburb Large,11980.0,0.840535343
30099,Suburb Large,0.0,0.6718128440000001
30101,Suburb Large,16141.0,0.821833
30102,Suburb Large,9633.0,0.812260871
30103,Rural Fringe,4597.0,0.831792293
30104,Town Fringe,1489.0,0.83079904
30105,Rural Fringe,910.0,0.828789689
30106,Suburb Large,6015.0,0.831946552
30107,Suburb Large,4930.0,0.8334190929999999
30108,Rural Fringe,2837.0,0.8514124890000001
30110,Rural Fringe,3447.0,0.8344457559999999
30113,Rural Fringe,2121.0,0.840476463
30114,Suburb Large,12689.0,0.825541812
30115,Suburb Large,12289.0,0.832761922
30116,Rural Fringe,8791.0,0.8420546879999999
30117,Rural Fringe,8521.0,0.845925881
30118,Town Fringe,0.0,0.7884577540000001
30120,Rural Fringe,9780.0,0.832673992
30121,Rural Fringe,5492.0,0.8139159029999999
30122,Suburb Large,5226.0,0.8360333320000001
30124,Rural Fringe,825.0,0.83536411
30125,Town Fringe,6460.0,0.8234167859999999
30126,Suburb Large,12550.0,0.7180876490000001
30127,Suburb Large,19950.0,0.832024972
30132,Rural Fringe,11409.0,0.824226102
30134,Suburb Large,13075.0,0.84743762
30135,Suburb Large,19088.0,0.836011203
30137,Rural Fringe,127.0,0.8215656590000001
30139,Rural Fringe,2001.0,0.828729292
30141,Rural Fringe,7673.0,0.82349383
30143,Rural Fringe,6812.0,0.813888608
30144,Suburb Large,12776.0,0.8352435220000001
30145,Rural Fringe,3006.0,0.8342280409999999
30147,Rural Fringe,1074.0,0.8268826990000001
30148,Rural Fringe,613.0,0.806120385
30152,Suburb Large,11089.0,0.817318738
30153,Town Fringe,6046.0,0.821742128
30157,Rural Fringe,13272.0,0.822007413
30161,Rural Fringe,11082.0,0.831687906
30165,Rural Fringe,11168.0,0.8256861440000001
30168,Suburb Large,5016.0,0.834131625
30170,Rural Fringe,1034.0,0.850929165
30171,Rural Fringe,1362.0,0.83484253
30173,Rural Fringe,1939.0,0.833456478
30175,Rural Fringe,2517.0,0.816309917
30176,Rural Fringe,2487.0,0.840066712
30177,Rural Fringe,101.0,0.819800265
30178,Rural Fringe,1767.0,0.847769295
30179,Rural Fringe,4330.0,0.8403763479999999
30180,Rural Fringe,9241.0,0.830368282
30182,Rural Fringe,1189.0,0.836674903
30183,Suburb Large,1634.0,0.832833618
30184,Rural Fringe,3694.0,0.824865602
30185,Rural Fringe,1261.0,0.838740382
30187,Suburb Large,3355.0,0.844825211
30188,Suburb Large,15626.0,0.819099348
30189,Suburb Large,10555.0,0.813389548
30204,Town Fringe,3776.0,0.8388416940000001
30205,Suburb Large,1642.0,0.8737696
30206,Rural Fringe,1201.0,0.854780621
30213,Suburb Large,11280.0,0.836698649
30214,Suburb Large,9971.0,0.841606878
30215,Suburb Large,10465.0,0.852714992
30216,Town Fringe,1269.0,0.8301954640000001
30217,Rural Fringe,2292.0,0.8431303859999999
30218,Rural Fringe,844.0,0.853299107
30220,Rural Fringe,1218.0,0.848867112
30222,Rural Fringe,1553.0,0.847428615
30223,Suburb Large,11905.0,0.8578268490000001
30224,Suburb Large,6345.0,0.859224845
30228,Rural Fringe,12271.0,0.837984321
30230,Rural Fringe,3704.0,0.845038582
30233,Town Fringe,6782.0,0.831319769
30234,Town Fringe,500.0,0.836809173
30236,Suburb Large,11741.0,0.831811408
30238,Suburb Large,11260.0,0.8478309490000001
30240,Rural Fringe,9451.0,0.833760211
30241,Rural Fringe,6023.0,0.8484237920000001
30248,Rural Fringe,7531.0,0.84586816
30251,Rural Fringe,321.0,0.848114426
30252,Rural Fringe,14085.0,0.839974167
30253,Rural Fringe,13885.0,0.831009015
30256,Rural Fringe,1044.0,0.8477800209999999
30257,Town Fringe,1271.0,0.837567321
30258,Rural Fringe,896.0,0.845696318
30259,Rural Fringe,1345.0,0.84275037
30260,Suburb Large,6870.0,0.758515284
30263,Rural Fringe,16019.0,0.8377082570000001
30265,Rural Fringe,10389.0,0.8237375579999999
30268,Suburb Large,3765.0,0.846709411
30269,Suburb Large,8854.0,0.8366660290000001
30273,Suburb Large,5667.0,0.8058937709999999
30274,Suburb Large,7947.0,0.8462665490000001
30276,Rural Fringe,5272.0,0.850297355
30277,Rural Fringe,5738.0,0.8377082809999999
30281,Rural Fringe,18405.0,0.825142418
30285,Rural Fringe,451.0,0.8525389609999999
30286,Rural Fringe,7218.0,0.842288067
30288,Suburb Large,3148.0,0.74523507
30290,Suburb Large,3508.0,0.851229146
30291,Suburb Large,2967.0,0.831516851
30292,Rural Fringe,3088.0,0.858027902
30293,Rural Fringe,1433.0,0.853988527
30294,Suburb Large,14157.0,0.83379247
30295,Rural Fringe,1581.0,0.853566031
30296,Suburb Large,6918.0,0.8172274140000001
30297,Suburb Large,7851.0,0.583365176
30303,City Large,59.0,0.949152542
30305,City Large,4913.0,0.524526766
30306,City Large,6293.0,0.59621802
30307,City Large,4861.0,0.568195844
30308,City Large,1123.0,0.7186108640000001
30309,City Large,2465.0,0.613793103
30310,City Large,9746.0,0.5746973120000001
30311,City Large,7685.0,0.49655172399999997
30312,City Large,3190.0,0.704388715
30313,City Large,246.0,0.8658536590000001
30314,City Large,5871.0,0.630727304
30315,City Large,8667.0,0.605745933
30316,Suburb Large,10295.0,0.607090821
30317,City Large,4359.0,0.539343886
30318,City Large,13018.0,0.579198033
30319,Suburb Large,9165.0,0.602727769
30322,Suburb Large,34.0,0.588235294
30324,City Large,3607.0,0.544496812
30326,City Large,29.0,0.793103448
30327,City Large,6041.0,0.597417646
30328,Suburb Large,6645.0,0.555455229
30329,Suburb Large,2882.0,0.548230396
30330,City Large,58.0,0.7758620690000001
30331,Suburb Large,14502.0,0.693490553
30332,City Large,1.0,1.0
30334,City Large,3.0,1.0
