sea-install-id,oiriginal-db,zip,fips,town,state,system-type,sector,install-date,utility,federal-cong-dist,state-senate-dist,state-house-dist,lat,long
southface_S53,Southface,31408,13051,Garden City,Georgia,Solar Hot Water,Residential,2008-01-01,Georgia Power Company,1,2,162,32.11929,-81.151748
southface_S55,Southface,30601,13059,Athens,Georgia,Solar Hot Water,Residential,2008-01-01,Georgia Power Company,10,46,118,33.976445,-83.368683
southface_S59,Southface,30030,13089,Decatur,Georgia,Solar Hot Water,Residential,2008-01-01,Georgia Power Company,5,42,83,33.767515,-84.308954
southface_S52,Southface,30005,13121,Alpharetta,Georgia,Solar Hot Water,Residential,2008-01-01,Sawnee EMC,6,48,25,34.070288,-84.202196
southface_S49,Southface,30281,13151,Stockbridge,Georgia,Solar Hot Water,Residential,2008-01-01,Georgia Power Company,13,10,111,33.501071,-84.257491
southface_S54,Southface,30549,13157,Jefferson,Georgia,Solar Hot Water,Residential,2008-01-01,Jackson EMC,9,47,31,34.072211,-83.638933
southface_S64,Southface,30549,13157,Jefferson,Georgia,Solar Hot Water,Residential,2008-01-01,Jackson EMC,9,50,31,34.084172,-83.65703
southface_S58,Southface,30650,13211,Madison,Georgia,Solar Hot Water,Residential,2008-01-01,Georgia Power Company,10,25,112,33.595032,-83.460743
southface_S65,Southface,30650,13211,Madison,Georgia,Solar Hot Water,Residential,2008-01-01,Georgia Power Company,10,25,112,33.595171,-83.454767
southface_S50,Southface,30677,13219,Watkinsville,Georgia,Solar Hot Water,Residential,2008-01-01,Georgia Power Company,10,46,119,33.867751,-83.380991
southface_S51,Southface,30621,13219,Bishop,Georgia,Solar Hot Water,Residential,2008-01-01,Walton EMC,10,46,119,33.860071,-83.528172
southface_S57,Southface,30546,13281,Hiawassee,Georgia,Solar Hot Water,Residential,2008-01-01,Blue Ridge Mountain EMC,9,50,8,34.928972,-83.732366
southface_S231,Southface,30530,13011,Commerce,Georgia,Solar Hot Water,Residential,2009-01-01,Jackson EMC,9,50,28,34.236969,-83.394848
southface_S215,Southface,31419,13051,Savannah,Georgia,Solar Hot Water,Residential,2009-01-01,Georgia Power Company,1,1,164,32.010782,-81.261475
southface_S165,Southface,30066,13067,Marietta,Georgia,Solar Hot Water,Residential,2009-01-01,Cobb EMC,6,33,37,34.011397,-84.537877
southface_S206,Southface,30152,13067,Kennesaw,Georgia,Solar Hot Water,Residential,2009-01-01,Cobb EMC,11,37,36,34.017425,-84.650024
southface_S171,Southface,30345,13089,Atlanta,Georgia,Solar Hot Water,Residential,2009-01-01,Georgia Power Company,6,42,82,33.857668,-84.286903
southface_S214,Southface,30340,13089,Atlanta,Georgia,Solar Hot Water,Non-Residential,2009-01-01,Unknown,6,40,81,33.897592,-84.269243
southface_S166,Southface,30559,13111,Mineral Bluff,Georgia,Solar Hot Water,Residential,2009-01-01,Blue Ridge Mountain EMC,9,51,7,34.946957,-84.281265
southface_S210,Southface,30513,13111,Blue Ridge,Georgia,Solar Hot Water,Residential,2009-01-01,Blue Ridge Mountain EMC,9,51,7,34.86629,-84.323649
southface_S230,Southface,30513,13111,Blue Ridge,Georgia,Solar Hot Water,Residential,2009-01-01,Blue Ridge Mountain EMC,9,51,7,34.863008,-84.335677
southface_S170,Southface,30022,13121,Alpharetta,Georgia,Solar Hot Water,Residential,2009-01-01,Unknown,6,56,51,34.012342,-84.293707
southface_S213,Southface,30306,13121,Atlanta,Georgia,Solar Hot Water,Residential,2009-01-01,Georgia Power Company,5,36,57,33.799247,-84.351732
southface_S203,Southface,30043,13135,Lawrenceville,Georgia,Solar Hot Water,Residential,2009-01-01,Georgia Power Company,7,45,101,33.97553,-84.038567
southface_S209,Southface,30055,13159,Mansfield,Georgia,Solar Hot Water,Residential,2009-01-01,Central Georgia EMC,10,25,129,33.450073,-83.773735
southface_S204,Southface,30655,13297,Monroe,Georgia,Solar Hot Water,Non-Residential,2009-01-01,Walton EMC,10,25,115,33.757859,-83.726025
southface_S391,Southface,30043,13135,Lawrenceville,Georgia,Solar Hot Water,Residential,2010-01-01,Jackson EMC,7,45,102,33.997371,-83.998257
southface_SF24,Southface,30318,13121,Atlanta,Georgia,Solar Electric,Non-Residential,1996-01-01,,,,,33.775772,-84.402532
southface_SF25,Southface,30318,13121,Atlanta,Georgia,Solar Hot Water,Non-Residential,1996-01-01,,,,,33.775772,-84.402532
nrel_NREL1,NREL,31405,13051,Savannah,Georgia,Solar Electric,Residential,1997-10-13,,,,,,
southface_SF33,Southface,30240,13285,LaGrange,Georgia,Solar Electric,Non-Residential,1999-02-01,,,,,33.000525,-85.056206
nrel_NREL2,NREL,30308,13121,Atlanta,Georgia,Solar Electric,Non-Residential,2002-01-01,,,,,,
southface_SF20,Southface,30064,13067,Marietta,Georgia,Solar Electric,Residential,2003-01-01,,,,,33.93481,-84.640828
southface_SF96,Southface,31774,13155,Ocilla,Georgia,Solar Electric,Non-Residential,2005-08-18,,,,,31.581931,-83.2403119
southface_SF111,Southface,30290,13113,Tyrone,Georgia,Solar Electric,Non-Residential,2005-08-30,,,,,33.4939746,-84.573428
southface_SF106,Southface,30677,13219,Watkinsville,Georgia,Solar Electric,Non-Residential,2005-09-09,,,,,33.8614757,-83.4563005
southface_SF131a,Southface,30305,13121,,Georgia,Solar Electric,Residential,2005-12-31,,,,,33.8233328,-84.3992317
southface_SF93,Southface,30094,13247,Conyers,Georgia,Solar Electric,Non-Residential,2006-01-17,,,,,33.627055,-84.047691
southface_SF94,Southface,30141,13223,Hiram,Georgia,Solar Electric,Non-Residential,2006-01-20,,,,,33.8783975,-84.7716938
southface_SF103,Southface,30548,13135,Hoschton,Georgia,Solar Electric,Non-Residential,2006-01-31,,,,,34.0787804,-83.8784909
